comment_id,create_time,ip_location,note_id,content,user_id,nickname,avatar,sub_comment_count,pictures,parent_comment_id,last_modify_ts,like_count
665ec26c0000000005027a5c,1717486188000,,664c4a45000000001401bc12,求模板,5f20230f0000000001003257,双鲤（接妆版）,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30srp4vmr3u6g5np04c7g8cinitpnv7o?imageView2/2/w/120/format/jpg,1,,0,1728891870554,1
66597277000000000e0301ef,1717138039000,,664c4a45000000001401bc12,谢谢[飞吻R],5d25be160000000012038b16,曲奇,https://sns-avatar-qc.xhscdn.com/avatar/6438bcbd35667e1e5a3a2e77.jpg?imageView2/2/w/120/format/jpg,0,,66596c33000000000f0077bc,1728891870741,2
66740b510000000017003805,1718881105000,,6673f317000000001c034aec,这数据，出单还是蛮多的。你要结合其他数据分析，给你一个广告分析思维导图，你对照着看，应该很快会发现问题所在。,5f364018000000000100a1a9,干饭宝儿,https://sns-avatar-qc.xhscdn.com/avatar/62be6aa48c90547df06ab3f7.jpg?imageView2/2/w/120/format/jpg,0,,667408e60000000017012a2a,1728891871281,13
66597388000000000e0308cc,1717138312000,,664c4a45000000001401bc12,[星R][红色心形R]有吗,631d6e850000000023027cc6,豆花要加糖,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313a95inug06g5ootdq2osv66g9ekaso?imageView2/2/w/120/format/jpg,0,,66597277000000000e0301ef,1728891872145,0
665973b8000000000e032d82,1717138361000,,664c4a45000000001401bc12,有的宝[飞吻R],5d25be160000000012038b16,曲奇,https://sns-avatar-qc.xhscdn.com/avatar/6438bcbd35667e1e5a3a2e77.jpg?imageView2/2/w/120/format/jpg,0,,66597388000000000e0308cc,1728891872156,0
665973ef000000000f005aa2,1717138416000,,664c4a45000000001401bc12,好的安全[飞吻R],631d6e850000000023027cc6,豆花要加糖,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo313a95inug06g5ootdq2osv66g9ekaso?imageView2/2/w/120/format/jpg,0,,665973b8000000000e032d82,1728891872171,0
6674114e000000001b0104c9,1718882638000,,6673f317000000001c034aec,宝儿[皱眉R]我也要,589ec37e50c4b45c6e5a48ea,SnoopyGirl,https://sns-avatar-qc.xhscdn.com/avatar/63ef74c59ffb98befcb3bd73.jpg?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891872313,0
6674384300000000160269e6,1718892612000,,6673f317000000001c034aec,我们老板要求ROAS在3.0以上[捂脸R],5a9ccbd44eacab031bb13a10,猫酱在东京,https://sns-avatar-qc.xhscdn.com/avatar/5faf5916d3c053000105b26d.jpg?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891872327,0
6674461800000000160257a9,1718896152000,,6673f317000000001c034aec,3.0以上不算要求过份哦,5f364018000000000100a1a9,干饭宝儿,https://sns-avatar-qc.xhscdn.com/avatar/62be6aa48c90547df06ab3f7.jpg?imageView2/2/w/120/format/jpg,0,,6674384300000000160269e6,1728891872341,1
665972e1000000000e030e04,1717138145000,,664c4a45000000001401bc12,真不错[赞R]！,5d25be160000000012038b16,曲奇,https://sns-avatar-qc.xhscdn.com/avatar/6438bcbd35667e1e5a3a2e77.jpg?imageView2/2/w/120/format/jpg,0,,665961c1000000000e033c6c,1728891872344,2
6674472d00000000170038a6,1718896430000,,6673f317000000001c034aec,好滴～,5f364018000000000100a1a9,干饭宝儿,https://sns-avatar-qc.xhscdn.com/avatar/62be6aa48c90547df06ab3f7.jpg?imageView2/2/w/120/format/jpg,0,,6674114e000000001b0104c9,1728891872362,0
66744b5c0000000015011b89,1718897500000,,6673f317000000001c034aec,收到[派对R][派对R]谢谢,589ec37e50c4b45c6e5a48ea,SnoopyGirl,https://sns-avatar-qc.xhscdn.com/avatar/63ef74c59ffb98befcb3bd73.jpg?imageView2/2/w/120/format/jpg,0,,6674472d00000000170038a6,1728891872379,0
6659630b000000000e033068,1717134091000,,664c4a45000000001401bc12,哈哈哈哈哈哈我觉得挺好喝的来不及买饭踹上就走了[捂脸R][偷笑R],5d0b88fc0000000011024143,🌸,https://sns-avatar-qc.xhscdn.com/avatar/63686e28e5380d9c932c2509.jpg?imageView2/2/w/120/format/jpg,0,,665961c1000000000e033c6c,1728891873768,0
66598436000000000e031bbe,1717142582000,,664c4a45000000001401bc12,棒,5c02a0c30000000008011c0e,mogmoo,https://sns-avatar-qc.xhscdn.com/avatar/5c02a19d31bbd80001c0513a.jpg?imageView2/2/w/120/format/jpg,0,,665961c1000000000e033c6c,1728891873786,0
66597712000000000e031f80,1717139219000,,664c4a45000000001401bc12,哈哈哈[大笑R],5d25be160000000012038b16,曲奇,https://sns-avatar-qc.xhscdn.com/avatar/6438bcbd35667e1e5a3a2e77.jpg?imageView2/2/w/120/format/jpg,0,,665975d0000000001b007630,1728891873967,0
667451e40000000018029c7c,1718899173000,,6673f317000000001c034aec,宝子，想要个思维导图[暗中观察R],5b59b2bcf7e8b95f30618dd7,居居啵,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo310cd7af26i604a7hv9pbp3enmgnm9ig?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891874620,0
667453ef0000000017002b84,1718899695000,,6673f317000000001c034aec,好滴，收👋,5f364018000000000100a1a9,干饭宝儿,https://sns-avatar-qc.xhscdn.com/avatar/62be6aa48c90547df06ab3f7.jpg?imageView2/2/w/120/format/jpg,0,,667451e40000000018029c7c,1728891874649,0
66746ab00000000018029da5,1718905520000,,6673f317000000001c034aec,宝儿，求思维导图[合十R],5a471b19e8ac2b195871862c,假鱼,https://sns-avatar-qc.xhscdn.com/avatar/604e22a817a82eb932a7f4bb.jpg?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891874668,0
667545450000000015011293,1718961477000,,6673f317000000001c034aec,我都看出了不正常😄,63c69aa60000000026011179,天涯,https://sns-avatar-qc.xhscdn.com/avatar/66c6ae26e05f6be7b5f97729.jpg?imageView2/2/w/120/format/jpg,0,,667408e60000000017012a2a,1728891874694,0
6675480a0000000017011e44,1718962187000,,6673f317000000001c034aec,求广告思维导图[皱眉R],59a1162d6a6a6923cb3c4ec1,神勇小富贵,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3124vj1u1k80049op4gb2qjm1aq88kto?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891874711,0
665975e3000000001c00be66,1717138915000,,664c4a45000000001401bc12,天真的好牛[哭惹R],63e740260000000026004dfd,小红薯63E82F05,https://sns-avatar-qc.xhscdn.com/avatar/cd255d0e201935e0d852bd371f18c198.jpg?imageView2/2/w/120/format/jpg,0,,665975d0000000001b007630,1728891874893,0
6707d916000000002a02b4b3,1728567575000,贵州,664c4a45000000001401bc12,想知道文字框都是作者大大你们亲自画的吗[害羞R],62dbe1d8000000001f004332,可爱鬼没刘海,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo317fjnd0d4a6g5omrs7c7ogpi169umhg?imageView2/2/w/120/format/jpg,0,,66597712000000000e031f80,1728891874908,0
665b4516000000000f006f89,1717257495000,,664c4a45000000001401bc12,宝参加完比赛可以分享哟，现在还是比赛期间[飞吻R],5d25be160000000012038b16,曲奇,https://sns-avatar-qc.xhscdn.com/avatar/6438bcbd35667e1e5a3a2e77.jpg?imageView2/2/w/120/format/jpg,0,,665b44ce000000000e03355e,1728891875100,0
66f6a1ab00000000020076e2,1727439275000,江西,664c4a45000000001401bc12,现在可以分享嘛？[吧唧R]当平时作业任务不干嘛[吧唧R],61d6a2650000000010008c20,爱辽偶,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo30vju7mjf626g5oemk9ik1310m0ir970?imageView2/2/w/120/format/jpg,0,,665b4516000000000f006f89,1728891876482,0
6675cd7f0000000005004723,1718996351000,,6673f317000000001c034aec,求一个大佬,5f7d2515000000000100833b,云朵,https://sns-avatar-qc.xhscdn.com/avatar/65fcbb7d4a77d461833b12d2.jpg?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891876608,0
6675fd950000000016025b38,1719008662000,,6673f317000000001c034aec,宝儿，蹲个广告分析思维导图[飞吻R],6096960a0000000001009144,一只咩咩咩呀,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo3115dqo8v6m005o4mio5094a4lvpued0?imageView2/2/w/120/format/jpg,0,,66740b510000000017003805,1728891876622,0
667637b9000000000d00d9e4,1719023546000,,6673f317000000001c034aec,这数据我也有呢 不过tacos12%[偷笑R],60207d0a0000000001009356,广北土立厂,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo318rip7qs4c005o10fk5094qm27okk70?imageView2/2/w/120/format/jpg,0,,667408e60000000017012a2a,1728891876637,0
